,,ANSWERID,Question,Answer,URL,llama3.1,CorrectedQuestions
10,10,GHR_0000804_Sec1.txt,What is (are) polycystic kidney disease ? (Also called: PKD; polycystic renal disease),"Polycystic kidney disease is a disorder that affects the kidneys and other organs. Clusters of fluid-filled sacs, called cysts, develop in the kidneys and interfere with their ability to filter waste products from the blood. The growth of cysts causes the kidneys to become enlarged and can lead to kidney failure. Cysts may also develop in other organs, particularly the liver. Frequent complications of polycystic kidney disease include dangerously high blood pressure (hypertension), pain in the back or sides, blood in the urine (hematuria), recurrent urinary tract infections, kidney stones, and heart valve abnormalities. Additionally, people with polycystic kidney disease have an increased risk of an abnormal bulging (an aneurysm) in a large blood vessel called the aorta or in blood vessels at the base of the brain. Aneurysms can be life-threatening if they tear or rupture. The two major forms of polycystic kidney disease are distinguished by the usual age of onset and the pattern in which it is passed through families. The autosomal dominant form (sometimes called ADPKD) has signs and symptoms that typically begin in adulthood, although cysts in the kidney are often present from birth or childhood. Autosomal dominant polycystic kidney disease can be further divided into type 1 and type 2, depending on the genetic cause. The autosomal recessive form of polycystic kidney disease (sometimes called ARPKD) is much rarer and is often lethal early in life. The signs and symptoms of this condition are usually apparent at birth or in early infancy.)",https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease,"Polycystic kidney disease (PKD) is a genetic disorder characterized by the growth of numerous cysts in the kidneys. These cysts are fluid-filled sacs that can enlarge and distort the normal kidney structure, leading to potential complications such as kidney failure. PKD can also affect other organs, including the liver and heart, and it can be inherited in autosomal dominant or autosomal recessive forms. The autosomal dominant form is more common and typically has a later age of onset than the autosomal recessive form. Treatment options for PKD may include medications to manage symptoms, surgical procedures to remove cysts, and transplantation if kidney failure occurs.","What is polycystic kidney disease (PKD), and how does it affect the kidneys and other organs, including its complications, genetic types, and typical age of onset for autosomal dominant and autosomal recessive forms?"
11,11,GHR_0000804_Sec3.txt,What are the genetic changes related to polycystic kidney disease ? (Also called: PKD; polycystic renal disease),"Mutations in the PKD1, PKD2, and PKHD1 genes cause polycystic kidney disease. Mutations in either the PKD1 or PKD2 gene can cause autosomal dominant polycystic kidney disease; PKD1 gene mutations cause ADPKD type 1, and PKD2 gene mutations cause ADPKD type 2. These genes provide instructions for making proteins whose functions are not fully understood. Researchers believe that they are involved in transmitting chemical signals from outside the cell to the cell's nucleus. The two proteins work together to promote normal kidney development, organization, and function. Mutations in the PKD1 or PKD2 gene lead to the formation of thousands of cysts, which disrupt the normal functions of the kidneys and other organs. People with mutations in the PKD2 gene, particularly women, typically have a less severe form of the disease than people with PKD1 mutations. The signs and symptoms, including a decline in kidney function, tend to appear later in adulthood in people with a PKD2 mutation. Mutations in the PKHD1 gene cause autosomal recessive polycystic kidney disease. This gene provides instructions for making a protein whose exact function is unknown; however, the protein likely transmits chemical signals from outside the cell to the cell nucleus. Researchers have not determined how mutations in the PKHD1 gene lead to the formation of numerous cysts characteristic of polycystic kidney disease. Although polycystic kidney disease is usually a genetic disorder, a small percentage of cases are not caused by gene mutations. These cases are called acquired polycystic kidney disease. This form of the disorder occurs most often in people with other types of kidney disease who have been treated for several years with hemodialysis (a procedure that filters waste products from the blood).)",https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease,Polycystic kidney disease (PKD) is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the kidneys and may reduce their ability to filter blood. Polycystic kidney disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys. The cysts enlarge the,What are the genetic changes related to polycystic kidney disease ? (Also called: PKD; polycystic renal disease)
12,12,GHR_0000804_Sec4.txt,Is polycystic kidney disease inherited ? (Also called: PKD; polycystic renal disease),"Most cases of polycystic kidney disease have an autosomal dominant pattern of inheritance. People with this condition are born with one mutated copy of the PKD1 or PKD2 gene in each cell. In about 90 percent of these cases, an affected person inherits the mutation from one affected parent. The other 10 percent of cases result from a new mutation in one of the genes and occur in people with no history of the disorder in their family. Although one altered copy of a gene in each cell is sufficient to cause the disorder, an additional mutation in the second copy of the PKD1 or PKD2 gene may make cysts grow faster and increase the severity of the disease. The rate at which cysts enlarge and cause a loss of kidney function varies widely, and may be influenced by mutations in other genes that have not been identified. Polycystic kidney disease also can be inherited in an autosomal recessive pattern. People with this form of the condition have two altered copies of the PKHD1 gene in each cell. The parents of a child with an autosomal recessive disorder are not affected but are carriers of one copy of the altered gene.)",https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease,"Polycystic kidney disease is an inherited disorder in which many cysts occur in the kidneys. These cysts can cause the kidneys to be swollen and enlarged. The cysts are filled with fluid, which may or may not be bloody. The cysts can also cause the kidneys to be damaged. The cysts may be inherited from either parent. The inheritance pattern is autosomal dominant, which means that one parent must have the disease for the child to be affected. In some cases, the disease may be inherited from both parents. In these cases, the child is affected even if only one parent has the disease. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited from a parent who has not been diagnosed with the disease. In these cases, the child may be affected even if only one parent has the cysts. The cysts may also be inherited",Is polycystic kidney disease inherited ? (Also called: PKD; polycystic renal disease)
13,13,ADAM_0000719_Sec1.txt,What is (are) Celiac disease - nutritional considerations ? (Also called: Gluten-free diet; Gluten sensitive enteropathy - diet; Celiac sprue - diet),"Celiac disease is an immune disorder passed down through families. Gluten is a protein found in wheat, barley, rye, or sometimes oats. It may also be found in some medicines. When a person with celiac disease eats or drinks anything containing gluten, the immune system responds by damaging the lining of the intestinal tract. This affects the body's ability to absorb nutrients. Carefully following a gluten-free diet helps prevent symptoms of the disease.)",https://www.nlm.nih.gov/medlineplus/ency/article/002443.htm,Celiac disease is an immune-mediated disorder in which the ingestion of gluten causes damage to the small intestine. It is characterized by malabsorption of nutrients and a variety of clinical symptoms. The disease is caused by a genetic predisposition and is associated with the HLA-DQ2 and HLA-DQ8 alleles. The disease is more common in individuals of European ancestry. The disease occurs in about 1 in 100 individuals. It is more common in females. The disease is more common in individuals with type 1 diabetes mellitus. The disease is more common in individuals with Down syndrome. The disease is more common in individuals with Turner syndrome. The disease is more common in individuals with Marfan syndrome. The disease is more common in individuals with Williams syndrome. The disease is more common in individuals with Noonan syndrome. The disease is more common in individuals with Klinefelter syndrome. The disease is more common in individuals with Prader-Willi syndrome. The disease is more common in individuals with Smith-Lemli-Opitz syndrome. The disease is more common in individuals with Angelman syndrome. The disease is more common in individuals with fragile X syndrome. The disease is more common in individuals with Rett syndrome. The disease is more common in individuals with Aarskog syndrome. The disease is more common in individuals with Cornelia de Lange syndrome. The disease is more common in individuals with Coffin-Siris syndrome. The disease is more common in individuals with Jacobsen syndrome. The disease is more common in individuals with Kabuki syndrome. The disease is more common in individuals with Costello syndrome. The disease is more common in individuals with Miller syndrome. The disease is more common in individuals with Rothmund-Thomson syndrome. The disease is more common in individuals with Bloom syndrome. The disease is more common in individuals with Fanconi syndrome. The disease is more common in individuals with Turner syndrome. The disease is more common in individuals with Noonan syndrome. The disease is more common in individuals with Williams syndrome. The disease is more common in individuals with Klinefelter syndrome. The disease is more common in individuals with Prader-Willi syndrome. The disease is more common in individuals with Smith-Lemli-Opitz syndrome. The disease is more common in individuals with Angelman syndrome. The disease is more common in individuals with fragile X syndrome. The disease is more common in individuals with Rett syndrome. The disease is more common in individuals with Aarskog syndrome. The disease is more common in individuals,What is (are) Celiac disease - nutritional considerations ? (Also called: Gluten-free diet; Gluten sensitive enteropathy - diet; Celiac sprue - diet)
14,14,ADAM_0000721_Sec1.txt,What is (are) Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy),"Celiac disease is a condition that creates inflammation in the small intestine, and damage in the lining. This prevents important components of food from being absorbed. The damage to the lining of the intestine comes from a reaction to eating gluten, which is found in wheat, rye, barley,and possibly oats, and in food made from these ingredients.)",https://www.nlm.nih.gov/medlineplus/ency/article/000233.htm,"Celiac disease is a condition in which people who are sensitive to gluten have trouble digesting gluten. Gluten is a protein found in wheat, barley, and rye. People with celiac disease have an immune reaction to gluten that causes damage to the lining of the small intestine. The only treatment for celiac disease is a gluten-free diet. If you have celiac disease and eat gluten, you could have health problems as a result. These problems can range from minor to severe. The most serious problem is malnutrition, which can lead to complications such as anemia, infertility, and low bone density.<|end_of_text|>",What is (are) Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
15,15,ADAM_0000721_Sec3.txt,What are the symptoms of Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy),"The symptoms of celiac disease can be different from person to person. This can make diagnosis difficult. For example, one person may have constipation, a second may have diarrhea, and a third may have no problem with stools.  Gastrointestinal symptoms include:  - Abdominal pain, bloating, gas, or indigestion  - Constipation  - Decreased appetite (may also be increased or unchanged)  - Diarrhea, either constant or off and on  - Lactose intolerance (common when the person is diagnosed, usually goes away after treatment)  - Nausea and vomiting  - Stools that are foul smelling, oily, or and stick to the toilet when flushed  - Unexplained weight loss (although people can be overweight or of normal weight)    Other problems that can develop over time because the intestines do not absorb key nutrients include:   - Easy bruising  - Depression or anxiety  - Fatigue  - Growth delay in children  - Hair loss  - Itchy skin with a rash (dermatitis herpetiformis)  - Missed menstrual periods  - Mouth ulcers  - Muscle cramps and joint pain  - Nosebleeds  - Seizures  - Tingling or numbness in the hands or feet  - Unexplained short height    Children with celiac disease may have:  - Defects in the tooth enamel and changes in tooth color  - Delayed puberty  - Diarrhea, constipation, fatty or foul-smelling stools, nausea, or vomiting  - Irritable and fussy behavior  - Poor weight gain  - Slowed growth and shorter than normal height for their age)",https://www.nlm.nih.gov/medlineplus/ency/article/000233.htm,"Celiac disease is a genetic disorder in which the body's immune system attacks the small intestine because of the presence of gluten, a protein found in wheat, barley, and rye. Gluten causes the body to produce antibodies that damage the small intestine. The damage prevents the absorption of nutrients from food, especially fat. The condition can appear in childhood or adulthood, but it is more common in children. It is a lifelong disease with no known cure. There is no connection between celiac disease and celiac disease - sprue.",What are the symptoms of Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
16,16,ADAM_0000721_Sec7.txt,"What are the complications of Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
","You must carefully continue to follow the gluten-free diet. When untreated, the disease can cause life-threatening complications. Delaying diagnosis or not following the diet puts you at risk for related conditions such as: - Autoimmune disorders - Bone disease (osteoporosis, kyphoscoliosis, fractures) - Certain types of intestinal cancer - Low blood count (anemia) - Infertility or repeated miscarriage - Liver disease)",https://www.nlm.nih.gov/medlineplus/ency/article/000233.htm,"Celiac disease is an immune disorder in which the body's immune system attacks its own tissues. In celiac disease, the immune system attacks the small intestine because of the presence of gluten, a protein found in wheat, barley, and rye. Celiac disease can be difficult to diagnose. There is no single test for the condition. Instead, a doctor may use a combination of blood tests, genetic tests, and a biopsy of the small intestine. People with celiac disease must avoid gluten in their diets. This means no wheat, barley, or rye. There are many gluten-free products on the market. Celiac disease is not the same thing as a wheat allergy. A person with a wheat allergy may have an allergic reaction to wheat, but the reaction is not due to the immune system. A person with celiac disease has an autoimmune reaction to wheat that damages the small intestine. People with celiac disease may have no symptoms. Or, they may have symptoms that include diarrhea, abdominal pain, bloating, and gas. Some people with celiac disease may have skin rashes, mouth sores, or numbness and tingling in the legs. Celiac disease is an autoimmune disorder. It occurs when the body's immune system attacks its own tissues. In celiac disease, the immune system attacks the small intestine because of the presence of gluten, a protein found in wheat, barley, and rye. Celiac disease can be difficult to diagnose. There is no single test for the condition. Instead, a doctor may use a combination of blood tests, genetic tests, and a biopsy of the small intestine. People with celiac disease must avoid gluten in their diets. This means no wheat, barley, or rye. There are many gluten-free products on the market. Celiac disease is not the same thing as a wheat allergy. A person with a wheat allergy may have an allergic reaction to wheat, but the reaction is not due to the immune system. A person with celiac disease has an autoimmune reaction to wheat that damages the small intestine. People with celiac disease may have no symptoms. Or, they may have symptoms that include diarrhea, abdominal pain, bloating, and gas. Some people with celiac disease may have skin rashes, mouth sores, or numbness and tingling in the legs. Celiac disease is an autoimmune disorder. It occurs when the body's immune system attacks its own tissues. In celiac disease, the immune system attacks the small intestine because of the presence of gluten,","What are the complications of Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
"
17,17,ADAM_0000721_Sec8.txt,"Do I need to see a doctor for Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
",Call your health care provider if you have symptoms of celiac disease.),https://medlineplus.gov/ency/article/000233.htm,"* When should I see a doctor for symptoms of celiac disease (sprue), and what signs might indicate the need for medical evaluation or diagnosis?","When should I see a doctor for symptoms of celiac disease (sprue), and what signs might indicate the need for medical evaluation or diagnosis?"
18,18,ADAM_0000721_Sec9.txt,How to prevent Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy),"Because the exact cause is unknown, there is no known way to prevent the development of celiac disease. However, being aware of the risk factors (such as having a family member with the disorder) may increase your chances of early diagnosis, treatment, and a long, healthy life.)",https://www.nlm.nih.gov/medlineplus/ency/article/000233.htm,"Celiac disease is an autoimmune disorder that causes damage to the small intestine when the person consumes gluten, a protein found in wheat, barley, and rye. Celiac disease can be prevented by avoiding gluten-containing foods and by following a gluten-free diet.",How to prevent Celiac disease - sprue ? (Also called: Sprue; Nontropical sprue; Gluten intolerance; Gluten-sensitive enteropathy)
19,19,ADAM_0000218_Sec1.txt,What is (are) Anesthesia - what to ask your doctor - adult ? (Also called: What to ask your doctor about anesthesia - adult),You are scheduled to have a surgery or procedure. You will need to talk with your doctor about the type of anesthesia that will be best for you. Below are some questions you may want to ask your doctor.,https://www.nlm.nih.gov/medlineplus/ency/patientinstructions/000183.htm,Anesthesia is a drug or combination of drugs used to prevent pain during surgery or other medical procedures. Anesthesia may also be used to relieve pain during childbirth.,What is (are) Anesthesia - what to ask your doctor - adult ? (Also called: What to ask your doctor about anesthesia - adult)
